"filename", "language", "YAML", "Dart", "JSON", "C++", "Markdown", "Swift", "XML", "HTML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 15, 5, 39
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 5, 30
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\windows\runner\utils.cpp", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 43, 1434, 277, 561, 13, 62, 472, 19, 8, 100, 299, 449, 3737
